dhiscodeset_id,code_set_nm,lamis_id,dhis_id,description
39,DATA ELEMENT DR,438,bCAUhfMWPLh,DR Number of individuals who received HIV Testing Services (HTS) and received their test results
40,DATA ELEMENT DR,439,o6fdL3RZIbI,DR Number of patients initiated on CARC {Community ARV Refill Club} - DMOC
41,DATA ELEMENT DR,440,UkiJvimzwzV,DR Number of patients initiated on CPARP {Community Pharmacy ARV Refill Program} - DMOC
42,DATA ELEMENT DR,441,qIpnUsp3e5g,DR Number of patients initiated on MMD (Multi Month Dispensing) - DMOC
43,DATA ELEMENT DR,442,eLaocgQkQSp,DR Number of patients initiated on MMS {Multi Month Scripting} - DMOC
44,DATA ELEMENT DR,443,X32G0ceC97C,DR Number of presumptive contacts of Index TB cases whose samples were sent for diagnosis
45,DATA ELEMENT DR,444,oLTVhrcnSOZ,DR Number of Presumptives (HIV Negative Clients) whose samples were sent for diagnosis 
46,DATA ELEMENT DR,445,QfwBEN5QymZ,DR Number of Presumptives (PLHIV) whose samples were sent for diagnosis
47,DATA ELEMENT DR,446,mK87BEGzemk,DR Number of TB patients on ART
48,DATA ELEMENT DR,447,ZK4dXbDSK8r,DR Number of viral Load results <1000 c/ml
49,DATA ELEMENT DR,448,ZMxfr4U4FiM,DR Number of viral Load results received
50,DATA ELEMENT DR,449,xyNu0wsvdBb,DR Number of viral Load samples sent
51,DATA ELEMENT DR,450,KVr22tFqA4O,DR Total Number of presumptives diagnosed with TB with Gene Expert(HIV Negative)
52,DATA ELEMENT DR,451,JyL2dRXHd9h,DR Total Number of presumptives diagnosed with TB with Gene Expert(PLHIV)
53,DATA ELEMENT DR,452,pOk2P2Me75L,DR Total Number of presumptives diagnosed with TB with Other tests(HIV Negative)
54,DATA ELEMENT DR,453,UkvbnZxb6xV,DR Total Number of presumptives diagnosed with TB with Other tests(PLHIV)
55,DATA ELEMENT DR,454,Zo6UCVqiwan,DR Number of clients who were suspected to have ADRs documented in the NAFDAC ADR reporting form this reporting month
56,DATA ELEMENT WR,456,pbXmrfcSIXW,WR HTS INDEX_Contacts elicited
57,DATA ELEMENT WR,457,twtK3QO8oHY,WR HTS INDEX_Contacts identified as known positive
58,DATA ELEMENT WR,458,rWE4YRDFBwZ,WR HTS INDEX_Contacts tested: New negative
59,DATA ELEMENT WR,459,pFf7uQGdpKm,WR HTS INDEX_Contacts tested: New positive
60,DATA ELEMENT WR,460,abIDvYsA1xa,WR HTS INDEX_Index cases accepted PNS
61,DATA ELEMENT WR,461,gudMBy9JwhG,WR HTS INDEX_Index cases offered PNS
62,DATA ELEMENT WR,462,cKODxouRWy0,"WR No. of people tested HIV+ & received results (Gen Pop; ANC, L&D, PNC,TB; Index - No. of children tested HIV+, Partners tested HIV+)"
63,DATA ELEMENT WR,463,NvuvhHDcqB7,WR Number of Adult Patients currently on ART transitioned to TLD
64,DATA ELEMENT WR,464,Ey63ixTPXkC,WR Number of Adult Patients newly initiated on ART with TLD
65,DATA ELEMENT WR,465,L0KQGXEo0uM,WR Number of adults and children currently receiving antiretroviral therapy (ART)
66,DATA ELEMENT WR,466,haZqTJ9WjkU,WR Number of adults and children newly enrolled on antiretroviral therapy (ART) 
67,DATA ELEMENT WR,467,ueRkF3Rgf5b,WR Number of ART clients expected to attend the clinic for ART refills
68,DATA ELEMENT WR,468,V2ezimE0zot,WR Number of ART clients who defaulted ARV refill appointments and were tracked
69,DATA ELEMENT WR,469,hVg6EbErOMp,WR Number of ART clients who defaulted ARV refill appointments and were tracked and returned on the next scheduled appointment
70,DATA ELEMENT WR,470,zf9xfQOnrCE,WR Number of ART clients who defaulted ARV refill appointments and were tracked_Known dead
71,DATA ELEMENT WR,471,XUJIsmzpuWV,WR Number of ART clients who defaulted ARV refill appointments and were tracked_Not reached (Client could not be contacted)
72,DATA ELEMENT WR,472,LL9ttuaH683,WR Number of ART clients who defaulted ARV refill appointments and were tracked_Reached and agreed to return to care
73,DATA ELEMENT WR,473,nDununtM1qk,WR Number of ART clients who defaulted ARV refill appointments and were tracked_Undocumented patient transfer
74,DATA ELEMENT WR,474,qK6DvfeghhB,WR Number of ART clients who kept to their ART refill appointment
75,DATA ELEMENT WR,475,vvlclfeV3vY,WR Number of ART patients eligible for IPT
76,DATA ELEMENT WR,476,UXIA4lALMK2,WR Number of ART patients who started a course of TB preventive therapy (INH)
77,DATA ELEMENT WR,477,DPGjiOc0ZWE,WR Number of ART patients who were screened for TB 
78,DATA ELEMENT WR,478,HdDNbhmt6Vi,WR Number of ART patients with no clinical contact since their last expected contact clinical contact
79,DATA ELEMENT WR,479,FBiN8totbRc,WR Number of ART patients with no clinical contact since their last expected contact clinical contact_Did not attempt to trace patient
80,DATA ELEMENT WR,480,XDJw2S7vLus,WR Number of ART patients with no clinical contact since their last expected contact clinical contact_Died (Confirmed)
81,DATA ELEMENT WR,481,nq0byDIG0aS,WR Number of ART patients with no clinical contact since their last expected contact clinical contact_Previously undocumented patient transfer (confirmed)
82,DATA ELEMENT WR,482,C2ZPlqIuUKv,WR Number of ART patients with no clinical contact since their last expected contact clinical contact_Traced patient (unable to locate)
83,DATA ELEMENT WR,483,rGn8HmissFY,WR Number of clients Eligible for HIV test ( from HIV screening tool)
84,DATA ELEMENT WR,484,UPmy66vapEu,WR Number of clients screened for HIV using HIV risk assessment form
85,DATA ELEMENT WR,485,koP02ovTouI,WR Number of Clients screened Positive (ART Clinic)
86,DATA ELEMENT WR,486,OOSs0Fu9EmG,WR Number of Clients screened Positive (HTS SDPs)
87,DATA ELEMENT WR,487,XgkPJoLkxFV,WR Number of clients who defaulted the scheduled ARV refill appointment
88,DATA ELEMENT WR,488,jfgPhzU1O1b,WR Number of Clients who were screened for TB (ART Clinic)
89,DATA ELEMENT WR,489,UnTx1Gb9xGT,WR Number of Clients who were screened for TB (HTS SDPs)
90,DATA ELEMENT WR,490,xKYdvH1HjvA,WR Number of diagnosed TB patients started on TB treatment (HIV Negative)
91,DATA ELEMENT WR,491,hkLJzA56CpB,WR Number of diagnosed TB patients started on TB treatment (PLHIV)
92,DATA ELEMENT WR,492,AE6jXVkbNqA,WR Number of household contacts of registered TB patients screened for TB
93,DATA ELEMENT WR,493,Aig9JGrZtTd,WR Number of household contacts screened positive
94,DATA ELEMENT WR,494,LNzcUG6KSRz,WR Number of individuals who received HIV Testing Services (HTS) and received their test results
95,DATA ELEMENT WR,495,jY4B3nbVQcx,WR Number of patients initiated on CARC {Community ARV Refill Club} - DMOC
96,DATA ELEMENT WR,496,zLXBzhjKMs8,WR Number of patients initiated on CPARP {Community Pharmacy ARV Refill Program} - DMOC
97,DATA ELEMENT WR,497,UKSHViXwewt,WR Number of patients initiated on MMD (Multi Month Dispensing) - DMOC
98,DATA ELEMENT WR,498,PWb1x6zufK3,WR Number of patients initiated on MMS {Multi Month Scripting} - DMOC
99,DATA ELEMENT WR,499,b06o42OXoxi,WR Number of presumptive contacts of Index TB cases whose samples were sent for diagnosis
100,DATA ELEMENT WR,500,v8uFE2IKynt,WR Number of Presumptives (HIV Negative Clients) whose samples were sent for diagnosis 
101,DATA ELEMENT WR,501,PyzExe83Qzr,WR Number of Presumptives (PLHIV) whose samples were sent for diagnosis
102,DATA ELEMENT WR,502,doCATYQLwvR,WR Number of TB patients on ART
103,DATA ELEMENT WR,503,oVyyc7Anufp,WR Number of viral Load results <1000 c/ml
104,DATA ELEMENT WR,504,o9BlaLcbn6F,WR Number of viral Load results received
105,DATA ELEMENT WR,505,UpJcgwHZKGi,WR Number of viral Load samples sent
106,DATA ELEMENT WR,506,Y1jllvpWk32,WR Total Number of presumptives diagnosed with TB with Gene Expert(HIV Negative)
107,DATA ELEMENT WR,507,ipSKe2SoRQv,WR Total Number of presumptives diagnosed with TB with Gene Expert(PLHIV)
108,DATA ELEMENT WR,508,bX4XgwcsAnL,WR Total Number of presumptives diagnosed with TB with Other tests(HIV Negative)
109,DATA ELEMENT WR,509,zWrCeWaDfsv,WR Total Number of presumptives diagnosed with TB with Other tests(PLHIV)
110,CATEGORY COMBO,40,YDI6IonLTQe,"Facility, Male, <15 years"
111,CATEGORY COMBO,41,C5xnUGyGUPy,"Facility, Male, 15yrs and above"
112,CATEGORY COMBO,42,waqPqCXzXA5,"Facility, Female, <15 years"
113,CATEGORY COMBO,43,HrKknYJYlSL,"Facility, Female, 15yrs and above"
114,CATEGORY COMBO,44,bWGlrNsM4j3,"Community, Male, <15 years"
115,CATEGORY COMBO,45,lzVZkwzsKkU,"Community, Male, 15yrs and above"
116,CATEGORY COMBO,46,pWtKBvxkYyd,"Community, Female, <15 years"
117,CATEGORY COMBO,21,rwZA5EBU1pi,"Community, Female, 15yrs and above"
118,FACILITY,1,lyBDSrfjVnG,ab Aba Berma Hospital
119,FACILITY,3,ekO2yuuAPKC,ab Angels of Mercy Hospital
120,FACILITY,4,NaiPYEG7zbL,ab Asaokpulor Primary Health Centre
121,FACILITY,5,kEWB5IOrUar,ab Austin Grace Specialist Hospital
122,FACILITY,6,d9HU6pl6d15,ab Blessed Haven Hospital
123,FACILITY,7,OXvdGzqLcAH,ab Emmanuel Medical Centre
124,FACILITY,8,zoH7GQmP2dT,ab Euna Hospital and Maternity
125,FACILITY,9,WqeoSngqMCt,ab Evergreen Clinic and Maternity
126,FACILITY,10,GXvlEdWd1P1,ab Eziama Primary Health Centre
127,FACILITY,12,nuCwZodfyP5,ab Good Samarithan Hospital
128,FACILITY,13,UKavZqZrFfH,ab Goodness and Mercy Hospital
129,FACILITY,14,xDSLuyYMXsB,ab Group Medical Practice
130,FACILITY,15,pWCYUTprfM6,ab Ikechukwu Maternity and Hospital
131,FACILITY,16,yyzAfJMqaGb,ab Impact Hospital and Maternity
132,FACILITY,17,V8n5SuinrJX,ab Isaac Okwuonu Memorial Hospital
133,FACILITY,18,YJVtVXzwt8f,ab Kahabiri Specialist Hospital
134,FACILITY,19,q0w8riLqsZ9,ab Landmark Hospital
135,FACILITY,20,rnUlJXxbotE,ab Nazereth Hospital
136,FACILITY,21,UZZuv9UdD5W,ab New Life Clinic and Maternity
137,FACILITY,22,NPN1ysXa3JD,ab Nissi Hospital
138,FACILITY,23,KdP8Xg6wpkQ,ab Noscar Conerstone Clinic
139,FACILITY,24,JKO7H8BCPxR,ab Osoke Primary Health Centre
140,FACILITY,25,dEjMUAS6sfB,ab Seventh Day Adventist Hospital Aba
141,FACILITY,26,p5dYq7QSpJz,ab The Chees Clinic and Maternity
142,FACILITY,27,HeDXtRJx0BK,ab Tina Maternity and Immunization Centre
143,FACILITY,28,u3rDFtG7CAQ,ab Touch Health Centre
144,FACILITY,29,kDPEZAUiwvA,ab Umola-Egbelu Primary Health Centre
145,FACILITY,30,Z2XsL2PtJES,ab Umuogor Primary Health Centre
146,FACILITY,31,yNgeDY0fSBK,ab Uratta Primary Health Centre
147,FACILITY,32,T9At7djJme4,ab Zikora Medical Centre
148,FACILITY,34,whPXIC79Oab,ab Aba St Joseph Hospital
149,FACILITY,35,Ihz5rhDY649,ab Abia State Teaching Hospital
150,FACILITY,36,tAIGqsgRwih,ab Agu Memorial Hospital
151,FACILITY,37,SKN0EO4QTjk,ab Anastesia Hospital Ltd
152,FACILITY,38,sn7vugQJRUb,ab Annabelles Bogi Development Initiative (ABDI)
153,FACILITY,39,rBCcxrjeNk5,ab Bethel Hospital and Maternity
154,FACILITY,40,NwRV0XRFYzI,ab Blessing Hospital
155,FACILITY,41,s0lHTiZtC3I,ab Chidimma Green Hospital Life
156,FACILITY,42,pjBsN1GDyJf,ab Chinwe Maternity Home
157,FACILITY,43,fKndsEP9ZIM,ab Chiwendu Clinics and Maternity
158,FACILITY,44,Q6YN4eKxfcK,ab Christian Aid Maternity
159,FACILITY,45,DGBPznrGJF9,ab Clehenson Hospital
160,FACILITY,46,I8XbgQOiXoz,ab Divine Favour Hospital and Maternity
161,FACILITY,47,I9UXbC6FbuF,ab Ekeoma Memorial Specialist Hospital
162,FACILITY,48,S5Q1yhu5Tm7,ab El-Asamen Specialist Hospital
163,FACILITY,49,I59pr8uq09y,ab Faith Foundation Hospital
164,FACILITY,50,bFblZLSNszH,ab Harmony Hospital
165,FACILITY,51,zLopRzNZhTW,ab John Okorie Memorial Hospital
166,FACILITY,52,dywlK98qwAT,ab Mendel Hospital and Diagnostic Centre Ltd
167,FACILITY,53,mMtjBxVAOyA,ab Miracle Hospital
168,FACILITY,54,O9W0HiBjG7j,ab Mother Mercy Clinic
169,FACILITY,55,KM76qxNoXoO,ab Ndu Christ Maternity
170,FACILITY,56,FWmxwIwnfSX,ab New Generation Hospital and Maternity
171,FACILITY,57,r4D1sLL7E0g,ab Ngwa Road Clinic
172,FACILITY,58,NXwq4m2DJuG,ab Nnadozie Hospital
173,FACILITY,59,NzITgxUDbVP,ab Onyemaechi Maternity
174,FACILITY,60,jugisGd545q,ab Our Saviour Maternity Home
175,FACILITY,61,c4fIUnm3zZc,ab Petra Hospital (Ngwa II)
176,FACILITY,62,jOLcy9El1cp,ab Presbyterian Primary Health Center
177,FACILITY,63,cWUl3Z6DRE7,ab Shammah Christian Hospital
178,FACILITY,64,HAwI6pnLpFT,ab St James Primary Health Centre
179,FACILITY,65,bWkAOiwNNz5,ab St. Anthony Hospital Ltd
180,FACILITY,66,Yuv8ph3JAVQ,ab Victory Christian Hospital
181,FACILITY,67,AGg20b2NRYo,ab Word of Faith Mission Hospital
182,FACILITY,68,nFcLsaEQWi4,ab Achara Health Centre
183,FACILITY,69,ilEFxaOOvrL,ab Amaeka Abem Health Centre
184,FACILITY,70,L0LpH0F4bvE,ab Amakofia Health Centre
185,FACILITY,71,S8O3BjRcbRl,ab Amamiri Health Centre
186,FACILITY,72,vtDDtulyFeT,ab Amuru Health Centre
187,FACILITY,73,l8Bg8mivEPs,ab Asaga Health Centre
188,FACILITY,74,mYLSYuqoN0X,ab Atani Health Centre
189,FACILITY,75,Da08DxGdYOx,ab Eleoha Otutu Health Centre
190,FACILITY,76,xz2zBLJWxZx,ab Idima Health Centre
191,FACILITY,77,MTEkw9gkMUF,ab Mercy Catholic Hospital
192,FACILITY,78,abhfGVjVEQR,ab Ndi Okorie Abam
193,FACILITY,79,pvwZMYKImAJ,ab Nkpakpi Otutu Health Centre
194,FACILITY,80,cjVqcPAIxw0,ab Obieze Isu Health Centre
195,FACILITY,81,KPFlRtWkEVN,ab Obinkita Health Centre
196,FACILITY,82,oR35oyURfVW,ab Ozu Abam Primary Health Centre
197,FACILITY,84,iX4AYIZTAi4,ab Ugwuavo Health Centre
198,FACILITY,85,LaIhEVxdKGA,ab Ukwuakwu Health Centre
199,FACILITY,86,xWPx3zofqbf,ab Umuzomgbo Health Centre
200,FACILITY,87,Q8m524YL31e,ab Agbamuzu Primary Health Centre
201,FACILITY,88,MESgZTjuJ7i,ab Akoli Health Centre
202,FACILITY,89,rsYacx4tm9Q,ab Alayi Maternity Primary Health Centre
203,FACILITY,90,CzVACCOTmLQ,ab Amaba Ugwueke Health 
204,FACILITY,91,yxhLGMjDjHp,ab Amaegbuato Primary Health Centre
205,FACILITY,92,LSGaBIDTAAO,ab Amankalu Primary Health Centre
206,FACILITY,93,RrJUUrIgBxK,ab Amaokwe Item Maternity Primary Health Centre
207,FACILITY,94,uTRnponTt6p,ab Amaukwu Primary Health Centre
208,FACILITY,95,LO3yv2WB63w,ab Bende Maternity Home Primary Health Centre
209,FACILITY,96,jWnUN3gSYlo,ab Chijioke Osogbo Methodist Memory Hospital
210,FACILITY,97,oXWMbTBRCbK,ab Ezeukwe Health Centre
211,FACILITY,98,FmUsBrOdd4l,ab Ezinne Model Maternity Home
212,FACILITY,99,HK2Ld0M67Mn,ab Igbere Primary Health Centre
213,FACILITY,100,GQlazRnNPTd,ab Ijeoma Maternity Home
214,FACILITY,101,sjGgFP4RZVr,ab Isiegbu Ozuitem Primary Health Centre
215,FACILITY,102,hJVpjiSj7On,ab Ndiwo Itumbuzo Primary Health Centre
216,FACILITY,103,IMy1diHKyII,ab Ngwu Health Centre
217,FACILITY,105,YuH9Ck49hKt,ab Okporoenyi Primary Health Centre
218,FACILITY,106,JgVG9HEo3Jj,ab Okpuhu Nkpa Primary Health Centre
219,FACILITY,107,DInZpX3fTpG,ab Standard Health Clinic
220,FACILITY,109,gaMovGFbxy0,ab Umunneato Comprehensive Primary Health Centre
221,FACILITY,110,hEOiNyWRRbL,ab Umuokwe Primary Health Centre
222,FACILITY,111,piBnEXILRBi,ab Umusi Primary Health Centre
223,FACILITY,112,MIvGb0y6V8d,ab Uzuakoli Primary Health Centre
224,FACILITY,113,jZcGUcJuJar,ab Aduanu Health Centre
225,FACILITY,114,sW7ClNxBDkp,ab Ahia Orie Health Centre
226,FACILITY,115,cFiO7hDN9LE,ab Amaba Health Centre
227,FACILITY,116,hhPpe3rcXtg,ab Amawum Outreach Unit
228,FACILITY,117,kNpa4iL0MHb,ab Ariam Health Centre
229,FACILITY,118,nR85EfD8DIc,ab Awomukwu Primary Health Centre
230,FACILITY,119,USyWXY3iSwP,ab FMC Comprehensive Health Centre
231,FACILITY,120,Y6UDJ2s0IlS,ab Iberenta Primary Health Centre
232,FACILITY,121,riiXYf2Jym0,ab Ikemba Health Centre
233,FACILITY,122,lHXGYXZZCPi,ab Iyiala Health Centre
234,FACILITY,123,xAysRVV59Cy,ab Michael Okpara University of Agriculture Health Centre
235,FACILITY,124,yhxtmYiGIf5,ab Nkasi Maternity
236,FACILITY,125,G9kcZV5Hddf,ab Oboro Health Centre
237,FACILITY,126,D7brFV1w8qL,ab Obugwu Primary Health Centre
238,FACILITY,127,rl0RH8F3G3P,ab Obuohia Ibere Health Centre
239,FACILITY,128,FglSs32RWGG,ab Obuohia Okike Primary Health Centre
240,FACILITY,129,LrIbraltkeQ,ab Okwe-Ukwe Primary Health Centre
241,FACILITY,130,TkiBjubd7AH,ab Umudike Ukwu Health Centre
242,FACILITY,131,Lqp6Q1uahJ2,ab Usaka Ukwu Health Centre
243,FACILITY,132,KWXPQ7X5gmp,ab Abayi Health Centre
244,FACILITY,133,Cxc6LY9YbpZ,ab Agburuezukwu Health Centre
245,FACILITY,134,rIls3yxGqKa,ab Ahiabaubi Primary Health Centre
246,FACILITY,135,ugXyefK1lw1,ab Amachi Health Post
247,FACILITY,136,Ns1RDPXQzTR,ab Anglican Maternity
248,FACILITY,137,PyWEjqV5OyK,ab Chinenyenwa Maternity
249,FACILITY,138,SHFAE3s3FO4,ab Chinonyerem Maternity
250,FACILITY,139,xp5plIx7anG,ab Eziala Primary Health Centre
251,FACILITY,140,jlCD7FKk1oO,ab Gods Own Heritage Maternity
252,FACILITY,141,xflxjZ5tCqr,ab Ichi Ukwu Health Centre
253,FACILITY,142,w7KcbK3uwve,ab Ihie Health Centre
254,FACILITY,143,jZ8l971lBQd,ab Ikputu Health Centre
255,FACILITY,144,M0C0AIP1AcY,ab Ntigha Primary Health Centre
256,FACILITY,145,RDDKJm3rlE1,ab Ohuhu Nsulu Health Centre
257,FACILITY,147,yzk0dbKOXTk,ab Oriaa Na Ugaa Hospital Ntigha
258,FACILITY,148,Pi9sjfrbhAG,ab Osusu Primary Health Centre
259,FACILITY,149,l4AJNjVKVRm,ab St. Eugene Clinic
260,FACILITY,150,CoaLJiTPg2t,ab Umuakwu Primary Health Centre
261,FACILITY,151,CpzqR8TY8LQ,ab Umuchima Primary Health Centre
262,FACILITY,152,ZPf8RlWRlsp,ab Umuezenta Basic Healthcare
263,FACILITY,153,bSTCYCrDcTH,ab Umuezeukwu Health Post
264,FACILITY,154,HmN0t0jStxT,ab Umuode Health Centre
265,FACILITY,155,IE182bzrn8V,ab Umuosu Primary Health Centre
266,FACILITY,156,BC0dkDsI2ib,ab Uratta Health Centre
267,FACILITY,157,zKj5fSz125c,ab Usaka Umuofor Health Centre
268,FACILITY,158,cXBmZvNyBI9,ab Africare Health Centre
269,FACILITY,159,K2KxJj5B0CO,ab Agbaragwu Primary Health Centre
270,FACILITY,160,wN1Xuaa0ItV,ab Amaku Primary Health Centre
271,FACILITY,161,CM37zBrAkfH,ab Christianways Mission Hospital
272,FACILITY,162,hbf9zDoAytO,ab Ebeyi Primary Health Centre
273,FACILITY,163,e28ViCLHHDI,ab Eketa Health Centre
274,FACILITY,164,nyQHUWaoAKl,ab Ikem Nvosi Health Centre
275,FACILITY,166,XiPIIWjkDwT,ab Mbutu Ukwu Primary Health Centre
276,FACILITY,167,PYNN7Y8lEb0,ab Mbutu Umuoko Primary Health Centre
277,FACILITY,168,JWt3nqNVTtk,ab Mercy Hospital
278,FACILITY,169,ZQTvtvTQ7Tb,ab Mercy Maternity Home and Rehabilitation Centre
279,FACILITY,170,vhtSIPtkWIJ,ab Mgbokonta Primary Health Centre
280,FACILITY,171,TcSZElBnYy5,ab Ngwaobi Primary Health Centre
281,FACILITY,172,ofUQSlGLaWc,ab Omoba Health Centre
282,FACILITY,173,kG1gzmv5DlP,ab Osokwa Model Health Centre
283,FACILITY,175,veQznj688HG,ab Ugba Primary Health Centre
284,FACILITY,176,zxBieH2KiTn,ab Umuajuju Health Centre
285,FACILITY,177,DJQ2z7tmdZy,ab Umuene Primary Health Centre
286,FACILITY,178,uLJGU5HkMxW,ab Umunko Health Centre
287,FACILITY,179,WZjBSlTNcy6,ab Umunkpeyi Nvosi Primary Healthcare
288,FACILITY,180,tPg6ZQ9cIwC,ab Umuotiri Health Centre
289,FACILITY,181,y262RVaB8oj,ab Acha Primary Health Centre
290,FACILITY,182,EdP22934UUR,ab Achara Health Centre (Isikwuato)
291,FACILITY,183,tpmq7oEwDIU,ab Amaba Health Centre (Isikwuato)
292,FACILITY,184,KdlCsRtU6nf,ab Amaiyi Obilohia Primary Health Centre
293,FACILITY,185,SgBRkEWuw0v,ab Amangelukwu Health Centre
294,FACILITY,186,jwRPnqwiN7H,ab Amiyiuhu Health Centre Oguduasa
295,FACILITY,187,iOCkxBDDeTQ,ab Echiele Primary Health Centre
296,FACILITY,188,usSX9n7spDE,ab Imenyi Ahaba Primary Health Centre
297,FACILITY,189,OLhiyIBUaRk,ab Marist Cottage Hospital Uturu
298,FACILITY,190,hnNd6OoTRLn,ab Mbaugwu Primary Health Centre
299,FACILITY,191,nFf5YrjIWak,ab Mgbelu Umunnekwu Health Centre
300,FACILITY,192,e3sp20O84yq,ab Ndundu Health Centre Uturu
301,FACILITY,193,AwcodlRS8KH,ab Nunya Primary Health Centre
302,FACILITY,194,ovGO32RkDgL,ab Nvurunvu Primary Health Centre
303,FACILITY,195,T5bt9VpHOql,ab Ohiyinta Primary Health Centre
304,FACILITY,196,gVhc9HnBdxI,ab Onuaku Primary Health Centre 
305,FACILITY,197,yqt3tlptNbv,ab Otamkpa Primary Health Centre
306,FACILITY,198,QQWWhbvYSuh,ab Ovim Primary Health Centre
307,FACILITY,199,stFUM5k3MZV,ab Ozara Health Centre
308,FACILITY,200,vkNZTyMdlJU,ab Swiss Foundation Hospital
309,FACILITY,201,CoVAfY9awAa,ab Ugwuele Primary Health Centre
310,FACILITY,202,iUw6Ew87M2M,ab Ukwunwangwu Uturu Primary Health Centre
311,FACILITY,203,J3hCQq1SDRS,ab Umebereaja Health Centre
312,FACILITY,204,x0uNanrTiUg,ab Umuobiala Primary Health Centre
313,FACILITY,205,TbuD9AqMmw5,ab Abala Primary Health Centre
314,FACILITY,206,tvTr3k7EgB3,ab Akanu Okpulo Primary Health Centre
315,FACILITY,207,wExvJSsVlzi,ab Bishop Afonya Memorial Hospital
